12
30
[0,1,2,3,4,5,6,7,8,9,10,11]
[[1,0],
[4,1],
[5,1],
[11,1],
[5,2],
[8,2],
[6,3],
[9,3],
[10,3],
[6,4],
[7,4],
[6,5],
[9,7],
[11,8],
[10,9],
[0,1],
[1,4],
[1,5],
[1,11],
[2,5],
[2,8],
[3,6],
[3,9],
[3,10],
[4,6],
[4,7],
[5,6],
[7,9],
[8,11],
[9,10]]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
